cluster,asset,sharpe_scenarios,sector,cluster_size
1,A027,0.015164582462754043,IG Credit,12
2,A018,0.053623407433425016,Gov Bonds,5
3,A008,0.07480791157348059,Equities Intl,7
4,A022,0.06415525994341444,Real Estate,2
5,A038,0.022421564671416438,Infrastructure,1
6,A004,0.05954371040377427,Equities US,10
7,A048,0.10543627883619514,Cash,3
8,A034,0.09618281336053534,HY Credit,10
