scale_factor,top_bitstring,top_count,top_frequency,portfolio_exp_return,portfolio_volatility,n_selected_assets
0.8,00101110,117,0.117,0.060864876750000005,0.07796790485513895,4
1.0,11010001,97,0.097,0.046894781249999996,0.054853487810712635,4
1.2,00101110,114,0.114,0.060864876750000005,0.07796790485513895,4
1.5,00010000,147,0.147,0.060711072,0.13621241867025194,1
