,A027,A018,A008,A022,A038,A004,A048,A034
A027,-35.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
A018,5.0,-35.0,5.0,5.0,5.0,5.0,5.0,5.0
A008,5.0,5.0,-35.0,5.0,5.0,5.0,5.0,5.0
A022,5.0,5.0,5.0,-35.0,5.0,5.0,5.0,5.0
A038,5.0,5.0,5.0,5.0,-35.0,5.0,5.0,5.0
A004,5.0,5.0,5.0,5.0,5.0,-35.0,5.0,5.0
A048,5.0,5.0,5.0,5.0,5.0,5.0,-35.0,5.0
A034,5.0,5.0,5.0,5.0,5.0,5.0,5.0,-35.0
