,A027,A018,A008,A022,A038,A004,A048,A034
A027,0.009055550000000002,0.0021555,0.013107899999999999,0.01160052,0.012783192,0.01661598,0.0006401952,0.007803912
A018,0.0021555,0.003058008000000001,0.0032558760000000004,0.004889856,0.005859479999999999,0.00874974,0.0011101812,0.006845472
A008,0.013107899999999999,0.0032558760000000004,0.39055813399999995,0.057782004000000005,0.020812728,0.04645152,0.0031233840000000003,0.047068668
A022,0.01160052,0.004889856,0.057782004000000005,0.16193480400000002,0.03578046,0.024034800000000002,0.002890428,0.021717588
A038,0.012783192,0.005859479999999999,0.020812728,0.03578046,0.095395261,0.011954820000000001,0.0024731880000000003,0.0195177
A004,0.01661598,0.00874974,0.04645152,0.024034800000000002,0.011954820000000001,0.276573435,0.0017419559999999998,0.038514311999999995
A048,0.0006401952,0.0011101812,0.0031233840000000003,0.002890428,0.0024731880000000003,0.0017419559999999998,-0.011934645,0.0023292
A034,0.007803912,0.006845472,0.047068668,0.021717588,0.0195177,0.038514311999999995,0.0023292,0.10605660099999999
