asset,sector,weight
A027,IG Credit,0.2728384428483525
A018,Gov Bonds,0.004544191078215998
A008,Equities Intl,0.08352397562569884
A022,Real Estate,0.09893078285744279
A038,Infrastructure,0.20722992423942488
A004,Equities US,0.12629267836034777
A048,Cash,7.627181144748621e-18
A034,HY Credit,0.20664000499051732
